AGEP,COW,SCHL,MAR,OCCP,RELP,WKHP,SEX,RAC1P,PINCP
39.0,1.0,16.0,5.0,9130.0,0.0,50.0,1.0,1.0,1
52.0,4.0,16.0,1.0,4230.0,0.0,40.0,2.0,1.0,0
44.0,1.0,21.0,3.0,5240.0,0.0,40.0,2.0,1.0,0
27.0,1.0,16.0,5.0,3500.0,2.0,40.0,2.0,1.0,0
32.0,4.0,19.0,5.0,2545.0,2.0,30.0,2.0,1.0,0
36.0,1.0,21.0,3.0,120.0,5.0,40.0,2.0,1.0,1
27.0,1.0,21.0,5.0,220.0,0.0,55.0,1.0,1.0,1
42.0,5.0,21.0,1.0,9040.0,0.0,40.0,1.0,6.0,1
29.0,1.0,19.0,5.0,5120.0,0.0,40.0,2.0,1.0,0
61.0,1.0,16.0,5.0,4760.0,0.0,20.0,2.0,8.0,0
39.0,1.0,15.0,1.0,4700.0,0.0,35.0,2.0,1.0,0
45.0,1.0,21.0,1.0,630.0,1.0,55.0,2.0,6.0,1
68.0,6.0,21.0,1.0,1032.0,0.0,50.0,2.0,1.0,0
22.0,3.0,16.0,5.0,3602.0,2.0,31.0,2.0,1.0,0
28.0,1.0,21.0,5.0,120.0,0.0,30.0,1.0,2.0,0
37.0,1.0,21.0,1.0,850.0,0.0,36.0,1.0,1.0,1
17.0,6.0,16.0,5.0,4251.0,16.0,40.0,1.0,1.0,0
56.0,1.0,21.0,1.0,5600.0,1.0,44.0,2.0,1.0,1
52.0,2.0,19.0,1.0,9620.0,0.0,24.0,1.0,1.0,1
72.0,1.0,24.0,1.0,3090.0,1.0,40.0,2.0,1.0,1
53.0,3.0,19.0,5.0,7340.0,0.0,40.0,1.0,1.0,1
59.0,1.0,19.0,1.0,4760.0,1.0,35.0,2.0,1.0,0
33.0,1.0,19.0,5.0,3422.0,2.0,40.0,2.0,1.0,0
19.0,1.0,18.0,5.0,4760.0,17.0,6.0,1.0,1.0,0
37.0,1.0,16.0,1.0,440.0,1.0,40.0,2.0,1.0,1
56.0,1.0,16.0,1.0,4850.0,1.0,28.0,2.0,1.0,0
48.0,1.0,14.0,3.0,5240.0,13.0,40.0,2.0,1.0,0
25.0,1.0,20.0,5.0,2632.0,2.0,25.0,2.0,1.0,0
19.0,6.0,19.0,5.0,850.0,2.0,30.0,1.0,1.0,0
38.0,2.0,16.0,5.0,5310.0,2.0,40.0,2.0,1.0,0
23.0,1.0,19.0,5.0,5240.0,2.0,30.0,2.0,1.0,0
20.0,2.0,17.0,5.0,3930.0,12.0,40.0,1.0,1.0,0
21.0,4.0,20.0,5.0,3740.0,2.0,20.0,1.0,9.0,0
24.0,5.0,20.0,1.0,7000.0,0.0,50.0,1.0,9.0,0
29.0,1.0,21.0,5.0,1360.0,11.0,40.0,1.0,6.0,0
37.0,1.0,21.0,1.0,4850.0,1.0,40.0,1.0,1.0,1
41.0,7.0,21.0,1.0,6050.0,1.0,80.0,1.0,1.0,1
29.0,5.0,24.0,1.0,2100.0,9.0,40.0,2.0,6.0,0
28.0,1.0,16.0,5.0,6442.0,0.0,40.0,1.0,1.0,0
53.0,1.0,19.0,3.0,705.0,13.0,70.0,1.0,1.0,1
22.0,5.0,19.0,5.0,9825.0,17.0,40.0,1.0,1.0,0
74.0,1.0,16.0,3.0,9130.0,11.0,24.0,1.0,1.0,0
27.0,2.0,16.0,5.0,6355.0,5.0,40.0,1.0,6.0,0
29.0,1.0,17.0,5.0,4760.0,13.0,50.0,2.0,1.0,0
41.0,1.0,20.0,1.0,4760.0,1.0,40.0,1.0,9.0,0
54.0,1.0,19.0,1.0,7315.0,1.0,40.0,2.0,1.0,0
27.0,1.0,18.0,5.0,6230.0,13.0,40.0,1.0,1.0,0
57.0,3.0,19.0,1.0,3720.0,1.0,40.0,1.0,1.0,1
40.0,3.0,21.0,5.0,3870.0,2.0,40.0,1.0,8.0,0
53.0,3.0,22.0,1.0,3230.0,1.0,32.0,2.0,1.0,1
49.0,1.0,16.0,3.0,6305.0,0.0,50.0,1.0,9.0,1
48.0,1.0,20.0,1.0,4255.0,0.0,40.0,1.0,1.0,0
63.0,1.0,22.0,1.0,9620.0,0.0,25.0,1.0,1.0,0
18.0,1.0,16.0,5.0,4150.0,2.0,30.0,2.0,8.0,0
57.0,1.0,16.0,3.0,5850.0,0.0,40.0,2.0,1.0,0
28.0,1.0,21.0,5.0,60.0,13.0,40.0,1.0,1.0,1
64.0,1.0,16.0,3.0,4760.0,11.0,18.0,2.0,8.0,0
25.0,1.0,21.0,5.0,51.0,13.0,40.0,2.0,1.0,0
25.0,1.0,16.0,5.0,4720.0,2.0,40.0,2.0,1.0,0
35.0,3.0,19.0,5.0,5521.0,0.0,40.0,2.0,2.0,1
53.0,7.0,20.0,3.0,6260.0,0.0,40.0,1.0,1.0,0
34.0,1.0,17.0,1.0,120.0,0.0,40.0,2.0,8.0,0
23.0,1.0,19.0,5.0,5940.0,2.0,40.0,1.0,1.0,0
29.0,7.0,21.0,5.0,4810.0,0.0,45.0,2.0,1.0,0
17.0,1.0,14.0,5.0,4720.0,2.0,20.0,2.0,6.0,0
36.0,4.0,14.0,5.0,6050.0,16.0,35.0,1.0,2.0,0
48.0,1.0,22.0,1.0,410.0,1.0,40.0,1.0,1.0,0
39.0,1.0,14.0,3.0,4251.0,15.0,17.0,1.0,1.0,0
46.0,3.0,21.0,1.0,5940.0,0.0,40.0,2.0,1.0,1
52.0,1.0,16.0,3.0,3640.0,0.0,40.0,2.0,1.0,0
59.0,2.0,20.0,1.0,3255.0,1.0,24.0,2.0,1.0,0
51.0,1.0,18.0,1.0,1006.0,0.0,40.0,2.0,1.0,1
44.0,1.0,21.0,1.0,440.0,1.0,42.0,2.0,8.0,1
56.0,3.0,21.0,1.0,2310.0,0.0,45.0,2.0,1.0,0
47.0,1.0,21.0,5.0,4435.0,5.0,50.0,1.0,1.0,0
44.0,1.0,16.0,3.0,4600.0,12.0,40.0,2.0,1.0,0
23.0,1.0,16.0,5.0,630.0,2.0,40.0,2.0,1.0,1
28.0,1.0,23.0,5.0,4710.0,2.0,90.0,1.0,2.0,1
39.0,2.0,22.0,5.0,2310.0,4.0,45.0,2.0,1.0,1
23.0,1.0,19.0,5.0,4760.0,4.0,30.0,1.0,1.0,0
38.0,1.0,16.0,5.0,6200.0,0.0,40.0,2.0,8.0,1
51.0,1.0,18.0,1.0,5120.0,0.0,35.0,2.0,1.0,1
44.0,1.0,21.0,1.0,5240.0,0.0,40.0,1.0,1.0,1
29.0,6.0,16.0,1.0,4230.0,9.0,4.0,2.0,1.0,0
59.0,1.0,13.0,1.0,4030.0,1.0,17.0,2.0,1.0,0
25.0,1.0,16.0,1.0,52.0,9.0,50.0,1.0,6.0,0
34.0,6.0,21.0,5.0,2634.0,0.0,3.0,2.0,1.0,0
52.0,3.0,22.0,1.0,2435.0,1.0,40.0,2.0,1.0,1
20.0,1.0,19.0,5.0,4720.0,17.0,15.0,2.0,8.0,0
39.0,4.0,20.0,1.0,3802.0,1.0,40.0,1.0,1.0,1
63.0,1.0,21.0,1.0,9030.0,1.0,40.0,1.0,1.0,1
43.0,3.0,19.0,1.0,6200.0,0.0,40.0,1.0,8.0,1
44.0,6.0,19.0,5.0,2710.0,0.0,40.0,1.0,1.0,1
60.0,1.0,21.0,1.0,1530.0,1.0,50.0,1.0,1.0,1
42.0,1.0,21.0,1.0,630.0,0.0,60.0,2.0,9.0,1
50.0,2.0,19.0,3.0,3602.0,12.0,24.0,2.0,1.0,0
28.0,6.0,20.0,1.0,4710.0,1.0,80.0,1.0,1.0,1
60.0,1.0,19.0,3.0,5740.0,0.0,40.0,2.0,1.0,1
30.0,1.0,18.0,1.0,7810.0,10.0,40.0,1.0,1.0,0
20.0,5.0,16.0,5.0,7140.0,17.0,40.0,2.0,1.0,0
59.0,6.0,16.0,1.0,440.0,0.0,40.0,2.0,1.0,0
69.0,7.0,19.0,1.0,440.0,0.0,10.0,1.0,1.0,1
28.0,1.0,13.0,5.0,3603.0,15.0,24.0,2.0,9.0,0
41.0,4.0,23.0,1.0,2310.0,0.0,50.0,2.0,1.0,1
65.0,1.0,20.0,1.0,5240.0,0.0,35.0,2.0,3.0,0
28.0,1.0,19.0,1.0,3423.0,2.0,40.0,2.0,8.0,0
30.0,1.0,18.0,5.0,4020.0,2.0,40.0,1.0,1.0,0
48.0,1.0,16.0,1.0,5740.0,0.0,15.0,2.0,1.0,0
81.0,6.0,20.0,1.0,205.0,0.0,24.0,1.0,1.0,0
64.0,3.0,19.0,3.0,3602.0,0.0,60.0,1.0,1.0,0
74.0,2.0,24.0,3.0,2040.0,0.0,16.0,2.0,1.0,0
46.0,3.0,19.0,3.0,230.0,0.0,35.0,2.0,1.0,0
23.0,1.0,21.0,5.0,3310.0,0.0,35.0,2.0,1.0,1
44.0,3.0,21.0,1.0,530.0,1.0,40.0,2.0,8.0,0
30.0,1.0,14.0,1.0,750.0,0.0,40.0,2.0,2.0,0
18.0,1.0,16.0,5.0,6050.0,2.0,10.0,1.0,9.0,0
36.0,3.0,21.0,5.0,2861.0,0.0,40.0,1.0,1.0,1
53.0,7.0,18.0,1.0,6260.0,0.0,50.0,1.0,1.0,1
58.0,1.0,21.0,1.0,4850.0,1.0,40.0,2.0,1.0,1
21.0,1.0,18.0,5.0,3602.0,2.0,2.0,2.0,6.0,0
26.0,1.0,21.0,5.0,1021.0,0.0,40.0,1.0,1.0,0
36.0,1.0,19.0,1.0,440.0,0.0,40.0,1.0,1.0,1
69.0,6.0,21.0,3.0,1360.0,0.0,20.0,1.0,1.0,1
34.0,1.0,15.0,3.0,9620.0,13.0,25.0,1.0,1.0,0
19.0,1.0,19.0,5.0,4760.0,2.0,25.0,2.0,1.0,0
24.0,4.0,20.0,5.0,5400.0,2.0,30.0,2.0,8.0,0
26.0,3.0,19.0,5.0,3620.0,2.0,20.0,2.0,8.0,0
33.0,2.0,20.0,5.0,4760.0,2.0,16.0,2.0,1.0,0
54.0,1.0,16.0,1.0,520.0,1.0,24.0,2.0,1.0,0
63.0,7.0,19.0,1.0,4920.0,1.0,30.0,2.0,1.0,1
28.0,1.0,21.0,1.0,4435.0,1.0,32.0,1.0,1.0,0
52.0,1.0,16.0,3.0,9130.0,2.0,40.0,1.0,1.0,0
25.0,4.0,21.0,5.0,5860.0,15.0,40.0,2.0,1.0,0
31.0,2.0,21.0,5.0,1610.0,2.0,30.0,1.0,1.0,0
21.0,1.0,19.0,5.0,9130.0,5.0,30.0,1.0,8.0,0
25.0,2.0,19.0,5.0,3645.0,7.0,40.0,2.0,1.0,0
24.0,1.0,17.0,5.0,6260.0,2.0,40.0,1.0,1.0,0
27.0,2.0,18.0,1.0,2360.0,17.0,85.0,1.0,9.0,0
32.0,1.0,22.0,5.0,2310.0,0.0,60.0,2.0,1.0,0
67.0,1.0,21.0,1.0,4600.0,1.0,8.0,2.0,1.0,0
41.0,1.0,17.0,1.0,6230.0,0.0,40.0,1.0,1.0,0
26.0,1.0,14.0,5.0,6360.0,0.0,40.0,1.0,1.0,1
22.0,5.0,19.0,5.0,9825.0,17.0,77.0,1.0,1.0,0
22.0,1.0,19.0,5.0,4110.0,12.0,25.0,1.0,6.0,0
45.0,1.0,19.0,1.0,9130.0,0.0,40.0,1.0,8.0,1
57.0,5.0,16.0,1.0,1320.0,0.0,40.0,1.0,1.0,1
21.0,1.0,19.0,5.0,5240.0,2.0,10.0,1.0,6.0,0
55.0,1.0,15.0,1.0,140.0,0.0,50.0,1.0,1.0,1
33.0,6.0,21.0,1.0,2910.0,0.0,30.0,1.0,1.0,0
41.0,1.0,18.0,5.0,3603.0,3.0,36.0,2.0,7.0,0
37.0,3.0,22.0,1.0,2310.0,0.0,40.0,2.0,1.0,1
58.0,2.0,16.0,1.0,2360.0,0.0,45.0,2.0,1.0,0
48.0,3.0,16.0,1.0,3870.0,1.0,70.0,1.0,1.0,1
43.0,5.0,18.0,1.0,9620.0,1.0,40.0,1.0,1.0,1
33.0,1.0,16.0,1.0,6260.0,0.0,40.0,1.0,1.0,0
46.0,1.0,17.0,5.0,4760.0,10.0,40.0,2.0,1.0,0
34.0,1.0,21.0,5.0,20.0,13.0,45.0,1.0,1.0,0
64.0,6.0,19.0,1.0,4900.0,1.0,15.0,2.0,5.0,0
33.0,4.0,21.0,5.0,630.0,11.0,40.0,1.0,1.0,1
54.0,1.0,17.0,1.0,3220.0,1.0,36.0,2.0,1.0,1
54.0,6.0,19.0,1.0,7640.0,1.0,60.0,1.0,1.0,1
23.0,2.0,21.0,5.0,2545.0,10.0,40.0,2.0,6.0,0
24.0,1.0,16.0,5.0,9600.0,2.0,40.0,1.0,1.0,0
47.0,3.0,21.0,1.0,565.0,1.0,40.0,1.0,1.0,1
43.0,1.0,20.0,1.0,52.0,1.0,50.0,1.0,1.0,1
20.0,1.0,19.0,5.0,4020.0,2.0,30.0,2.0,1.0,0
46.0,6.0,20.0,1.0,6260.0,1.0,4.0,1.0,2.0,0
27.0,1.0,19.0,5.0,7720.0,15.0,50.0,2.0,1.0,0
38.0,1.0,20.0,1.0,6200.0,0.0,50.0,1.0,1.0,1
28.0,1.0,21.0,5.0,1600.0,0.0,50.0,1.0,1.0,0
37.0,1.0,16.0,1.0,7700.0,0.0,55.0,1.0,1.0,1
36.0,1.0,21.0,1.0,440.0,9.0,40.0,1.0,1.0,1
29.0,1.0,21.0,5.0,4700.0,0.0,50.0,2.0,1.0,1
46.0,1.0,19.0,1.0,4840.0,1.0,40.0,1.0,1.0,1
40.0,1.0,19.0,3.0,4020.0,0.0,53.0,1.0,1.0,0
23.0,1.0,2.0,5.0,3255.0,0.0,40.0,1.0,1.0,1
42.0,1.0,17.0,4.0,7830.0,13.0,40.0,1.0,1.0,1
51.0,1.0,21.0,1.0,51.0,1.0,40.0,1.0,1.0,1
52.0,3.0,16.0,1.0,230.0,1.0,45.0,2.0,1.0,0
51.0,6.0,16.0,4.0,7010.0,2.0,24.0,1.0,1.0,0
18.0,1.0,18.0,5.0,9620.0,2.0,40.0,1.0,8.0,0
38.0,1.0,17.0,1.0,6355.0,1.0,40.0,1.0,1.0,0
43.0,5.0,18.0,5.0,5560.0,2.0,48.0,1.0,2.0,1
28.0,1.0,16.0,1.0,6050.0,5.0,40.0,1.0,1.0,0
19.0,1.0,16.0,5.0,5240.0,2.0,26.0,1.0,1.0,0
57.0,1.0,19.0,1.0,5240.0,1.0,40.0,1.0,1.0,1
28.0,1.0,19.0,5.0,4700.0,2.0,40.0,2.0,8.0,0
53.0,1.0,16.0,5.0,8990.0,17.0,5.0,1.0,1.0,0
27.0,2.0,22.0,1.0,2722.0,0.0,60.0,2.0,1.0,1
35.0,7.0,9.0,3.0,7200.0,16.0,30.0,1.0,1.0,0
23.0,1.0,21.0,5.0,9130.0,2.0,10.0,2.0,1.0,0
58.0,1.0,21.0,1.0,110.0,1.0,50.0,1.0,1.0,1
27.0,1.0,21.0,5.0,5120.0,2.0,40.0,2.0,1.0,0
28.0,4.0,19.0,5.0,5840.0,12.0,40.0,2.0,1.0,0
69.0,6.0,22.0,1.0,10.0,0.0,4.0,1.0,1.0,1
35.0,4.0,24.0,1.0,2205.0,0.0,45.0,2.0,1.0,1
46.0,1.0,12.0,1.0,1555.0,1.0,40.0,1.0,1.0,0
38.0,3.0,16.0,1.0,5522.0,0.0,54.0,1.0,1.0,1
57.0,1.0,19.0,1.0,5740.0,1.0,30.0,2.0,1.0,0
51.0,1.0,19.0,1.0,4850.0,1.0,42.0,2.0,1.0,1
36.0,1.0,16.0,5.0,4110.0,13.0,30.0,2.0,3.0,0
47.0,6.0,14.0,1.0,4950.0,1.0,28.0,1.0,1.0,0
33.0,1.0,16.0,1.0,5600.0,0.0,40.0,2.0,1.0,0
49.0,1.0,21.0,1.0,2805.0,0.0,60.0,1.0,1.0,1
34.0,6.0,19.0,1.0,4510.0,1.0,8.0,2.0,1.0,0
22.0,1.0,16.0,5.0,2360.0,10.0,40.0,1.0,8.0,1
30.0,6.0,19.0,5.0,310.0,2.0,55.0,1.0,1.0,0
19.0,1.0,19.0,5.0,4720.0,2.0,24.0,2.0,8.0,0
27.0,1.0,15.0,5.0,6355.0,2.0,32.0,1.0,8.0,0
33.0,6.0,18.0,1.0,4810.0,1.0,6.0,2.0,1.0,0
20.0,1.0,19.0,5.0,4760.0,2.0,27.0,2.0,1.0,0
44.0,7.0,18.0,1.0,4700.0,0.0,4.0,1.0,1.0,0
29.0,1.0,16.0,5.0,9620.0,2.0,1.0,1.0,1.0,0
35.0,2.0,21.0,1.0,3255.0,2.0,36.0,2.0,1.0,1
30.0,1.0,19.0,4.0,5400.0,2.0,40.0,2.0,1.0,0
30.0,3.0,16.0,5.0,4251.0,17.0,40.0,1.0,6.0,0
50.0,1.0,22.0,1.0,60.0,1.0,40.0,1.0,1.0,1
22.0,1.0,18.0,5.0,5240.0,7.0,20.0,1.0,1.0,0
26.0,1.0,24.0,5.0,3050.0,2.0,45.0,2.0,6.0,0
37.0,1.0,19.0,5.0,7160.0,13.0,40.0,1.0,1.0,0
27.0,1.0,19.0,5.0,1545.0,2.0,40.0,2.0,1.0,0
57.0,1.0,16.0,1.0,6260.0,0.0,50.0,1.0,1.0,0
56.0,6.0,17.0,1.0,440.0,0.0,35.0,1.0,1.0,1
31.0,1.0,21.0,5.0,1460.0,0.0,40.0,1.0,2.0,1
26.0,1.0,21.0,5.0,5740.0,13.0,40.0,2.0,6.0,0
30.0,1.0,21.0,1.0,2840.0,0.0,50.0,2.0,1.0,1
28.0,4.0,21.0,5.0,2545.0,0.0,30.0,1.0,1.0,0
63.0,1.0,22.0,3.0,845.0,0.0,45.0,1.0,1.0,1
47.0,1.0,13.0,1.0,4700.0,1.0,50.0,1.0,1.0,1
26.0,1.0,18.0,5.0,4020.0,2.0,30.0,1.0,6.0,0
43.0,1.0,20.0,5.0,4000.0,0.0,55.0,1.0,1.0,1
64.0,1.0,16.0,1.0,6800.0,1.0,84.0,1.0,1.0,1
25.0,3.0,21.0,5.0,2015.0,0.0,40.0,2.0,1.0,0
29.0,1.0,15.0,5.0,5860.0,15.0,40.0,2.0,1.0,0
48.0,1.0,21.0,1.0,910.0,0.0,40.0,1.0,1.0,1
29.0,1.0,14.0,5.0,4010.0,5.0,37.0,2.0,1.0,0
53.0,1.0,19.0,1.0,1320.0,1.0,50.0,1.0,1.0,1
46.0,6.0,20.0,5.0,4600.0,0.0,25.0,2.0,1.0,0
34.0,7.0,18.0,1.0,9645.0,0.0,40.0,2.0,1.0,0
19.0,2.0,19.0,5.0,7800.0,17.0,20.0,1.0,1.0,0
57.0,7.0,20.0,1.0,7260.0,1.0,50.0,1.0,1.0,0
22.0,1.0,16.0,5.0,4720.0,2.0,15.0,2.0,3.0,0
55.0,7.0,19.0,1.0,5810.0,0.0,30.0,2.0,1.0,0
29.0,1.0,16.0,5.0,4700.0,13.0,40.0,2.0,1.0,0
21.0,1.0,19.0,5.0,9645.0,2.0,30.0,1.0,3.0,0
65.0,3.0,18.0,1.0,2310.0,0.0,20.0,2.0,1.0,0
49.0,5.0,17.0,1.0,440.0,0.0,40.0,1.0,1.0,1
28.0,1.0,19.0,5.0,4700.0,12.0,40.0,2.0,1.0,0
24.0,1.0,16.0,4.0,3421.0,2.0,40.0,2.0,1.0,0
25.0,3.0,19.0,5.0,3740.0,12.0,20.0,1.0,1.0,0
25.0,1.0,12.0,5.0,9610.0,2.0,40.0,1.0,6.0,0
28.0,1.0,19.0,5.0,9130.0,2.0,40.0,1.0,9.0,0
22.0,1.0,13.0,5.0,6355.0,2.0,48.0,1.0,1.0,0
27.0,1.0,16.0,5.0,8000.0,13.0,40.0,1.0,8.0,0
40.0,1.0,23.0,1.0,2100.0,9.0,50.0,1.0,1.0,1
30.0,1.0,15.0,1.0,137.0,1.0,55.0,2.0,1.0,1
49.0,5.0,21.0,3.0,9830.0,13.0,40.0,1.0,1.0,1
75.0,6.0,23.0,1.0,3010.0,0.0,40.0,1.0,1.0,1
62.0,1.0,21.0,1.0,9030.0,0.0,18.0,1.0,1.0,1
22.0,1.0,16.0,5.0,7315.0,12.0,40.0,1.0,3.0,0
19.0,1.0,16.0,5.0,4020.0,2.0,17.0,2.0,1.0,0
34.0,3.0,22.0,1.0,2310.0,1.0,40.0,2.0,6.0,1
37.0,1.0,19.0,3.0,5410.0,0.0,30.0,1.0,1.0,0
64.0,4.0,21.0,1.0,2310.0,1.0,40.0,2.0,1.0,1
57.0,6.0,17.0,5.0,440.0,0.0,50.0,1.0,1.0,0
53.0,1.0,16.0,5.0,4510.0,15.0,40.0,2.0,1.0,0
56.0,1.0,19.0,3.0,4710.0,0.0,32.0,1.0,8.0,0
49.0,3.0,22.0,1.0,102.0,5.0,36.0,1.0,1.0,1
58.0,3.0,22.0,1.0,2002.0,1.0,27.0,2.0,1.0,0
31.0,6.0,19.0,5.0,4510.0,2.0,32.0,2.0,1.0,0
25.0,1.0,18.0,1.0,160.0,0.0,27.0,2.0,1.0,0
60.0,4.0,16.0,1.0,4220.0,1.0,20.0,2.0,8.0,0
31.0,1.0,21.0,5.0,800.0,0.0,50.0,1.0,6.0,1
45.0,7.0,21.0,1.0,440.0,0.0,40.0,1.0,1.0,1
32.0,3.0,19.0,1.0,3740.0,0.0,42.0,2.0,1.0,1
44.0,1.0,21.0,1.0,910.0,0.0,40.0,2.0,8.0,1
20.0,1.0,16.0,5.0,4220.0,0.0,40.0,2.0,1.0,1
29.0,1.0,16.0,5.0,7800.0,15.0,25.0,1.0,1.0,0
47.0,3.0,19.0,1.0,440.0,1.0,40.0,1.0,1.0,1
47.0,1.0,21.0,1.0,1021.0,1.0,60.0,1.0,6.0,1
27.0,1.0,19.0,5.0,6260.0,2.0,50.0,1.0,1.0,0
24.0,1.0,16.0,5.0,4720.0,7.0,36.0,1.0,9.0,0
32.0,4.0,19.0,1.0,2545.0,1.0,25.0,2.0,1.0,0
17.0,1.0,14.0,5.0,2700.0,7.0,5.0,1.0,1.0,0
34.0,1.0,20.0,1.0,540.0,0.0,40.0,2.0,1.0,1
28.0,7.0,22.0,1.0,705.0,1.0,20.0,2.0,6.0,0
75.0,6.0,23.0,1.0,2100.0,1.0,40.0,1.0,1.0,1
36.0,1.0,16.0,3.0,4110.0,13.0,40.0,2.0,1.0,0
20.0,4.0,19.0,5.0,5400.0,17.0,14.0,2.0,1.0,0
60.0,1.0,16.0,1.0,5860.0,1.0,15.0,2.0,1.0,0
28.0,1.0,21.0,1.0,705.0,1.0,60.0,1.0,1.0,1
24.0,1.0,16.0,5.0,9130.0,0.0,40.0,2.0,8.0,0
36.0,4.0,21.0,1.0,565.0,1.0,40.0,2.0,6.0,1
41.0,3.0,20.0,1.0,6260.0,0.0,40.0,1.0,8.0,0
28.0,1.0,21.0,5.0,565.0,0.0,45.0,2.0,1.0,1
56.0,1.0,19.0,1.0,630.0,1.0,40.0,2.0,1.0,0
36.0,1.0,17.0,1.0,7430.0,1.0,50.0,1.0,1.0,1
18.0,1.0,16.0,5.0,4720.0,2.0,18.0,2.0,1.0,0
32.0,7.0,16.0,1.0,4920.0,0.0,80.0,1.0,9.0,1
58.0,1.0,21.0,3.0,440.0,5.0,40.0,2.0,1.0,1
60.0,6.0,21.0,1.0,4220.0,1.0,30.0,1.0,1.0,0
36.0,1.0,16.0,1.0,440.0,0.0,50.0,2.0,1.0,0
39.0,1.0,16.0,1.0,5110.0,0.0,40.0,2.0,1.0,0
58.0,1.0,18.0,1.0,8225.0,1.0,50.0,2.0,1.0,0
34.0,1.0,21.0,1.0,440.0,1.0,50.0,2.0,1.0,1
51.0,1.0,19.0,1.0,5000.0,0.0,38.0,2.0,1.0,0
35.0,1.0,17.0,5.0,9645.0,13.0,25.0,1.0,1.0,0
52.0,5.0,17.0,5.0,1360.0,2.0,40.0,1.0,1.0,1
62.0,1.0,20.0,1.0,5940.0,1.0,40.0,2.0,1.0,0
80.0,7.0,23.0,1.0,3090.0,0.0,40.0,1.0,1.0,1
21.0,1.0,19.0,5.0,2350.0,17.0,4.0,2.0,2.0,0
36.0,1.0,21.0,5.0,4840.0,13.0,40.0,1.0,1.0,1
55.0,6.0,18.0,3.0,4920.0,0.0,50.0,2.0,1.0,1
23.0,2.0,21.0,5.0,2310.0,2.0,2.0,2.0,6.0,0
34.0,3.0,19.0,1.0,2330.0,0.0,40.0,1.0,1.0,0
42.0,1.0,21.0,1.0,2825.0,0.0,31.0,1.0,1.0,0
53.0,1.0,21.0,1.0,1340.0,0.0,40.0,1.0,1.0,1
31.0,6.0,19.0,5.0,4950.0,13.0,6.0,2.0,8.0,0
26.0,1.0,19.0,5.0,4230.0,12.0,45.0,2.0,6.0,0
28.0,1.0,22.0,5.0,3150.0,2.0,40.0,2.0,6.0,1
63.0,1.0,16.0,1.0,9141.0,1.0,25.0,1.0,1.0,0
23.0,1.0,21.0,5.0,3930.0,3.0,40.0,1.0,1.0,0
57.0,5.0,19.0,1.0,5550.0,0.0,35.0,2.0,1.0,0
49.0,1.0,19.0,3.0,3640.0,0.0,30.0,2.0,1.0,0
41.0,1.0,14.0,1.0,540.0,1.0,40.0,2.0,1.0,0
58.0,5.0,22.0,1.0,5940.0,0.0,40.0,2.0,3.0,0
